driver_id,driver_type,day,duty_id,duty_start,duty_end,tour_ids,work_min,hours,days_worked
D_PT590,PT,4,P_4aa615fef177,270,810,T_4_270_10|T_4_540_1,540,27.0,3
D_PT591,PT,1,T_9b5e009aa72d,240,1065,T_1_240_5|T_1_525_4|T_1_795_4,810,22.5,3
D_PT591,PT,2,S_26f751cfaf8d,465,735,T_2_465_1,270,22.5,3
D_PT591,PT,4,S_e561e85fa171,1035,1305,T_4_1035_2,270,22.5,3
D_PT592,PT,1,T_7f65f4bf41d0,285,1095,T_1_285_1|T_1_555_5|T_1_825_4,810,27.0,3
D_PT592,PT,2,P_0eadda84cafe,375,915,T_2_375_4|T_2_645_2,540,27.0,3
D_PT592,PT,4,S_7d55c066ae1c,1080,1350,T_4_1080_5,270,27.0,3
D_PT593,PT,1,T_c5ce62da166d,300,1110,T_1_300_6|T_1_570_1|T_1_840_1,810,27.0,3
D_PT593,PT,2,P_3502a7a483fa,345,900,T_2_345_8|T_2_630_12,540,27.0,3
D_PT593,PT,4,S_9aaa8f8604ed,960,1230,T_4_960_3,270,27.0,3
D_PT594,PT,1,T_ad72d04b00e9,300,1125,T_1_300_5|T_1_585_7|T_1_855_1,810,27.0,3
D_PT594,PT,2,P_14a9b09949d3,390,930,T_2_390_13|T_2_660_7,540,27.0,3
D_PT594,PT,4,S_b7fc0e29eb59,375,645,T_4_375_7,270,27.0,3
D_PT595,PT,1,T_ef964058d4b7,345,1170,T_1_345_6|T_1_615_8|T_1_900_10,810,31.5,3
D_PT595,PT,2,S_879b30faaf2f,465,735,T_2_465_5,270,31.5,3
D_PT595,PT,4,T_345e42535655,375,1230,T_4_375_4|T_4_690_1|T_4_960_2,810,31.5,3
D_PT596,PT,2,S_71e7d4279ce9,240,510,T_2_240_2,270,18.0,2
D_PT596,PT,4,T_d4d5e6536832,345,1155,T_4_345_5|T_4_615_1|T_4_885_2,810,18.0,2
D_PT597,PT,2,P_556d18844bc9,240,795,T_2_240_6|T_2_525_2,540,13.5,2
D_PT597,PT,4,S_6c4afb815396,495,765,T_4_495_3,270,13.5,2
D_PT598,PT,2,P_89a95913b248,360,900,T_2_360_4|T_2_630_10,540,22.5,2
D_PT598,PT,4,T_946d676ccf94,270,1095,T_4_270_1|T_4_555_7|T_4_825_3,810,22.5,2
D_PT599,PT,2,P_34b837332b59,405,945,T_2_405_2|T_2_675_9,540,22.5,2
D_PT599,PT,4,T_47dacedcfe74,360,1215,T_4_360_11|T_4_675_1|T_4_945_1,810,22.5,2
D_PT600,PT,2,P_ace1e34ed894,420,960,T_2_420_9|T_2_690_4,540,22.5,2
D_PT600,PT,4,T_4660425826f4,360,1215,T_4_360_14|T_4_660_3|T_4_945_10,810,22.5,2
